run_id,Time,Power,ApparentPower,ReactivePower,Factor,Voltage,Current
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:24,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:24,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:25,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:25,5,10,9,0.44,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:25,5,10,9,0.44,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:25,5,10,9,0.44,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:25,5,10,9,0.44,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:25,5,10,9,0.44,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:25,4,10,9,0.42,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:25,4,10,9,0.42,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:25,4,10,9,0.42,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:26,4,10,9,0.42,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:26,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:26,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:26,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:26,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:26,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:26,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:26,5,10,9,0.44,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:26,5,10,9,0.44,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:26,5,10,9,0.44,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:27,5,10,9,0.44,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:27,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:27,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:27,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:27,4,10,9,0.43,231,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:27,4,10,9,0.44,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:27,4,10,9,0.44,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:27,4,10,9,0.44,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:27,4,10,9,0.44,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:27,4,10,9,0.43,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:28,4,10,9,0.43,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:28,4,10,9,0.43,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:28,4,10,9,0.43,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:28,4,10,9,0.43,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:28,4,10,9,0.44,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:28,4,10,9,0.44,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:28,4,10,9,0.44,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:28,626,626,0,1.0,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:28,626,626,0,1.0,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:28,626,626,0,1.0,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:29,1697,1697,0,1.0,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:29,1697,1697,0,1.0,231,0.043
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:29,1678,1698,260,0.99,231,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:29,1678,1698,260,0.99,231,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:29,1678,1698,260,0.99,231,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:29,1678,1698,260,0.99,231,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:29,1678,1698,260,0.99,231,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:29,1678,1698,260,0.99,231,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:29,1678,1698,260,0.99,231,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:29,1678,1698,260,0.99,231,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:30,1678,1678,0,1.0,227,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:30,1678,1678,0,1.0,227,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:30,1678,1678,0,1.0,227,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:30,1678,1678,0,1.0,227,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:30,1676,1676,0,1.0,227,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:30,1676,1676,0,1.0,227,7.361
